Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-12,2,Malmö FF 3-1 GAIS,Malmö FF,GAIS,b99u9gpztyjs5u1i88z6qvg9g,3q8cb05k7vhizcug7exst1gd0
2026-04-12,2,Halmstad 0-3 Degerfors,Halmstad,Degerfors,b99u9gpztyjs5u1i88z6qvg9g,3si58po2n1rdaohpwsmhi1o2c
2026-04-12,2,Djurgården 3-2 Kalmar,Djurgården,Kalmar,b99u9gpztyjs5u1i88z6qvg9g,3ole1u253jkwwkfvq0b6rpnh0
2026-04-11,2,Västerås 2-2 Elfsborg,Västerås,Elfsborg,b99u9gpztyjs5u1i88z6qvg9g,3ryi4du2xd9gf0vgglgbod6hg
2026-04-11,2,Mjällby 0-2 Örgryte,Mjällby,Örgryte,b99u9gpztyjs5u1i88z6qvg9g,3pn3lb8htyzqggy58sso9ffo4
2026-04-11,2,IFK Göteborg 0-2 Häcken,IFK Göteborg,Häcken,b99u9gpztyjs5u1i88z6qvg9g,3p3vfsdvcm2wny8qthegg4opg
2026-04-06,1,GAIS 0-1 Djurgården,GAIS,Djurgården,b99u9gpztyjs5u1i88z6qvg9g,3l02mbpuz3sa6ral286uv7zf8
2026-04-06,1,Elfsborg 2-0 IFK Göteborg,Elfsborg,IFK Göteborg,b99u9gpztyjs5u1i88z6qvg9g,3muedf0kikcfud1zrigt3ayvo
2026-04-06,1,Häcken 2-2 Brommapojkarna,Häcken,Brommapojkarna,b99u9gpztyjs5u1i88z6qvg9g,3m80bafngs5v3u07of71arlzo
2026-04-05,1,Örgryte 1-1 Malmö FF,Örgryte,Malmö FF,b99u9gpztyjs5u1i88z6qvg9g,3lluggcbnnrxvr7v3nv4grc44
2026-04-05,1,Kalmar 0-1 Västerås,Kalmar,Västerås,b99u9gpztyjs5u1i88z6qvg9g,3o32pivbsiodav3smp750yyac
2026-04-05,1,AIK 2-1 Halmstad,AIK,Halmstad,b99u9gpztyjs5u1i88z6qvg9g,3jmx8o4x605nprsz6koq5sr9w
2026-04-04,1,Degerfors 0-3 Sirius,Degerfors,Sirius,b99u9gpztyjs5u1i88z6qvg9g,3ngmn7nw2ca48udahfx7pvyms
2026-04-04,1,Hammarby 3-0 Mjällby,Hammarby,Mjällby,b99u9gpztyjs5u1i88z6qvg9g,3kch73kdx6uu0dn8nuinosjkk
